time,activity,10a,10b,12a,12b,11a,11b,14a,14b,13a,13b,conductivity,temperature,depth,depth2
18282.466666666667,0.969910905,74.41712189,93.89674377,,,77.2427597,91.68436432,,,,,,,,
18292.466666666667,0.967469142,70.86536407,95.68096924,98.16458893,95.85471344,77.73325348,87.96996307,,,,,,,,
18302.483333333334,0.952525079,65.96881104,93.28813171,99.54397583,94.08215332,81.18552399,90.22463989,96.97825623,106.8493271,,,36.20612,8.043713,250.0215821,250.0215821
18312.483333333334,0.963381847,69.9256897,96.06719971,,,78.72147369,91.16049194,,,,,36.20102,8.051788,250.0013131,250.0013131
18322.466666666667,0.964660721,66.61473083,94.60332489,90.08592987,94.70611572,79.77837372,94.27719116,93.19605255,108.9863892,,,36.20231,8.054916,249.9798082,249.9798082
18332.516666666666,0.984276053,62.86725998,92.62744904,94.15219879,96.39647675,76.10530853,90.34455872,94.21760559,108.9655457,,,36.20739,8.054891,249.973332,249.973332
18342.483333333334,0.983737714,60.44779587,93.45281219,98.55165863,97.75440216,76.52361298,91.14076233,93.79566956,109.6264496,,,,,,
18352.5,0.988813513,64.50537872,97.22081757,95.86587524,95.91322327,79.3441391,89.98503113,91.8632431,105.8442917,,,,,,
18362.483333333334,0.985957561,72.24653625,93.76361847,,,76.80442047,94.02075195,86.76383972,106.3777542,,,36.20487,8.074871,249.9446588,249.9446588
18372.5,0.9789394,68.98186493,95.42076874,94.62784576,94.34893799,80.15907288,93.71416473,,,,,36.19979,8.0888625,249.9450048,249.9450048
18382.483333333334,0.977404807,68.28623199,93.7596817,98.62895203,95.46325684,80.3130722,93.38754272,92.2872467,110.7302704,,,36.19981,8.097676,249.9464879,249.9464879
18392.5,0.987444087,70.72248077,94.62747192,100.6134872,95.57831573,78.39775848,92.31784058,88.34444427,106.6319122,,,36.20109,8.098112,249.9519259,249.9519259
18402.516666666666,0.975064067,73.31909943,92.20108032,96.91629791,98.56993103,76.39698029,94.44295502,91.03661346,105.7917252,,,,,,
18412.5,0.978002723,67.41312408,92.58560181,98.33203888,97.51615906,79.8144455,94.01625061,90.71898651,105.3253937,,,,,,
18422.5,0.986949908,71.85984039,96.30423737,97.8494873,94.71977234,82.24927521,91.49341583,92.0191803,104.9159317,,,36.16538,8.035393,250.0039827,250.0039827
18432.5,0.981657516,69.98920441,94.3939209,87.18405914,96.57893372,80.27413177,93.45330048,,,,,36.16281,8.0223065,250.0221753,250.0221753
18442.5,0.982035538,70.54968262,92.90133667,94.09603882,99.41673279,80.86782074,93.04264832,,,,,36.165345,8.014454,250.0423454,250.0423454
18452.5,0.97161046,72.09734344,94.80947876,94.72919464,97.69768524,82.43086243,94.62651062,,,,,36.165985,8.006562,250.0592527,250.0592527
18462.5,0.98392408,69.55448151,96.03681183,94.7122879,100.3850937,84.239151,99.28592682,,,,,,,,
18472.5,0.989607181,71.24868011,94.42066956,,,83.72068787,100.8710632,,,,,,,,
18482.516666666666,0.986855213,73.26525116,92.42259979,92.00243378,95.50481415,82.9655304,99.14292908,86.42627716,100.1810455,,,36.171695,7.992439,250.1615864,250.1615864
18492.533333333333,0.982876979,65.16870117,91.89370728,88.91269684,90.22929382,82.70493317,96.6987381,89.05832672,104.8161621,,,36.16914,7.992792,250.1917921,250.1917921
18502.516666666666,0.996978224,68.52327728,92.55548859,81.34442139,86.75865173,83.38431549,96.20959473,88.21221924,100.9405975,,,36.17487,7.991502,250.229611,250.229611
18512.5,0.986523574,67.98136139,92.84966278,85.42365265,87.06588745,84.42576599,93.36886597,80.75366974,98.83460999,,,36.17678,7.9931585,250.2550708,250.2550708
18522.516666666666,0.976113934,71.28368378,90.18026733,96.98119354,90.95489502,85.75508118,94.27397156,85.7567749,99.51512909,,,,,,
18532.516666666666,0.989059843,67.19567108,90.13008118,95.98522186,94.01419067,83.67687225,91.09918213,87.59393311,100.1417542,,,,,,
18542.533333333333,0.974790644,66.74015045,92.86377716,95.29834747,94.5249939,85.73429108,93.21331787,88.32830048,102.5607605,,,36.13986,7.997803,250.3772284,250.3772284
18552.533333333333,0.822781749,63.0761261,93.5214386,85.4696579,90.83851624,77.57016754,87.17354584,91.39444733,106.348999,63.63889694,88.56634521,36.160865,7.996206,250.4184089,250.4184089
18562.533333333333,0.252119715,68.23838043,97.41574097,85.30060577,92.14839172,70.66521454,84.52933502,92.56089783,106.6187134,71.56204224,89.1276474,36.15258,7.991666,250.4524707,250.4524707
18572.516666666666,0.017288444,66.88168335,95.91716766,86.43998718,91.33760834,71.97130585,84.82151794,94.35313416,105.7856445,72.52790833,85.66040039,36.15131,7.997156,250.4733328,250.4733328
19882.783333333333,0.975498009,68.54944611,93.64144135,94.76178741,90.95726013,77.2287674,91.62358093,90.83571625,102.5752411,,,36.248625,7.9395075,249.8845439,249.8845439
19892.783333333333,0.974733239,67.46131897,92.62975311,93.04698181,93.8789978,72.74489594,89.55836487,90.07505798,104.4533768,,,36.263915,7.9388485,249.8973974,249.8973974
19902.766666666666,0.948828993,69.1703949,90.9232254,85.25111389,92.69914246,75.42279816,89.43670654,88.83124542,101.9759064,67.26638031,87.30332184,,,,
